year	field_goal_attempts	target
85	10	3.0
85	13	7.0
85	11	5.0
85	23	12.0
85	13	7.0
85	4	0.0
85	5	2.0
85	8	2.0
85	9	2.0
85	6	4.0
85	6	1.0
85	16	11.0
85	13	5.0
85	24	14.0
85	11	3.0
85	18	10.0
85	20	10.0
85	8	4.0
85	7	3.0
85	16	10.0
85	14	8.0
85	7	2.0
85	15	7.0
85	12	6.0
85	16	9.0
85	11	2.0
85	23	11.0
85	12	3.0
85	9	4.0
85	4	1.0
85	16	6.0
85	7	2.0
85	11	4.0
85	16	7.0
85	15	7.0
85	17	8.0
85	14	7.0
85	19	11.0
85	13	6.0
85	13	7.0
85	9	5.0
85	15	8.0
85	19	10.0
85	13	4.0
85	10	5.0
85	8	6.0
85	14	5.0
85	14	4.0
85	11	6.0
85	16	11.0
85	18	12.0
85	10	3.0
85	12	7.0
85	12	5.0
85	16	11.0
85	9	1.0
85	13	6.0
85	8	4.0
85	10	5.0
85	15	7.0
85	9	3.0
85	16	6.0
85	10	5.0
85	10	6.0
85	13	6.0
85	6	2.0
85	10	4.0
85	7	1.0
85	15	9.0
85	22	10.0
85	12	5.0
85	16	8.0
85	16	3.0
85	17	8.0
85	7	3.0
85	12	7.0
85	15	9.0
85	19	10.0
85	10	2.0
85	19	8.0
85	17	9.0
85	10	4.0
85	3	1.0
86	13	7.0
86	15	5.0
86	17	11.0
86	16	9.0
86	14	6.0
86	17	7.0
86	20	9.0
86	4	1.0
86	22	9.0
86	17	10.0
86	21	11.0
86	12	6.0
86	17	9.0
86	12	5.0
86	16	9.0
86	17	10.0
86	14	6.0
86	16	12.0
86	7	4.0
86	14	7.0
86	14	7.0
86	12	5.0
86	18	10.0
86	10	3.0
86	15	6.0
86	14	7.0
86	13	5.0
86	16	5.0
86	9	3.0
86	16	8.0
86	16	8.0
86	17	10.0
86	17	8.0
86	18	7.0
86	10	3.0
86	13	3.0
86	10	8.0
86	15	7.0
86	14	8.0
86	11	6.0
86	12	3.0
86	22	11.0
86	14	9.0
86	20	10.0
86	21	8.0
86	13	6.0
86	9	2.0
86	13	5.0
86	17	6.0
86	7	4.0
86	12	4.0
86	15	7.0
86	6	1.0
86	21	13.0
86	18	7.0
86	16	10.0
86	13	8.0
86	10	4.0
86	8	2.0
86	19	12.0
86	11	3.0
86	14	6.0
86	16	7.0
86	10	3.0
86	17	7.0
86	25	15.0
86	11	3.0
86	25	9.0
86	16	10.0
86	21	7.0
86	11	4.0
86	15	7.0
86	13	7.0
86	15	7.0
86	20	9.0
86	15	6.0
86	18	7.0
86	16	4.0
86	13	6.0
86	18	6.0
86	16	8.0
86	13	5.0
86	14	6.0
86	8	2.0
86	9	2.0
86	14	6.0
86	15	7.0
86	11	7.0
86	16	6.0
86	20	12.0
86	13	8.0
86	15	9.0
86	12	5.0
87	14	6.0
87	14	6.0
87	13	5.0
87	19	13.0
87	14	6.0
87	18	9.0
87	16	9.0
87	7	2.0
87	20	9.0
87	18	8.0
87	11	6.0
87	13	4.0
87	20	9.0
87	12	6.0
87	16	7.0
87	10	4.0
87	3	0.0
87	11	5.0
87	6	2.0
87	8	4.0
87	7	3.0
87	8	1.0
87	10	2.0
87	10	3.0
87	19	12.0
87	16	7.0
87	14	4.0
87	14	8.0
87	21	9.0
87	10	3.0
87	20	10.0
87	10	6.0
87	13	8.0
87	11	3.0
87	15	9.0
87	13	7.0
87	13	9.0
87	5	1.0
87	5	2.0
87	8	2.0
87	3	0.0
87	14	7.0
87	13	5.0
87	9	5.0
87	11	4.0
87	10	2.0
87	16	10.0
87	16	5.0
87	6	1.0
87	17	7.0
87	13	6.0
87	9	3.0
87	5	0.0
87	15	8.0
87	9	3.0
87	10	5.0
87	3	0.0
87	11	6.0
87	9	3.0
87	13	6.0
87	7	3.0
87	13	7.0
87	12	5.0
87	10	4.0
87	4	1.0
87	5	0.0
87	5	1.0
87	17	9.0
87	8	5.0
87	14	7.0
87	11	4.0
87	10	3.0
87	12	4.0
87	12	6.0
87	10	4.0
87	12	7.0
87	10	6.0
87	12	7.0
87	12	6.0
87	12	4.0
87	17	8.0
87	16	9.0
87	6	0.0
87	9	2.0
87	8	3.0
87	6	3.0
87	10	4.0
87	14	4.0
87	8	2.0
87	13	9.0
87	10	7.0
87	12	3.0
87	9	5.0
87	18	9.0
87	11	5.0
87	5	1.0
87	1	0.0
87	15	10.0
87	11	7.0
87	14	3.0
87	11	3.0
87	11	6.0
87	16	8.0
87	7	2.0
87	14	5.0
88	8	4.0
88	7	1.0
88	13	8.0
88	12	7.0
88	8	3.0
88	3	1.0
88	7	3.0
88	8	2.0
88	3	2.0
88	17	6.0
88	9	6.0
88	8	4.0
88	18	8.0
88	13	5.0
88	10	5.0
88	5	1.0
88	16	7.0
88	4	0.0
88	12	4.0
88	7	3.0
88	7	2.0
88	9	3.0
88	15	7.0
88	16	9.0
88	16	8.0
88	13	5.0
88	8	2.0
88	15	9.0
88	16	9.0
88	11	4.0
88	8	2.0
88	15	7.0
88	10	5.0
88	12	7.0
88	12	7.0
88	12	7.0
88	20	9.0
88	16	8.0
88	22	10.0
88	16	10.0
88	13	4.0
88	18	9.0
88	17	10.0
88	16	9.0
88	10	4.0
88	17	8.0
88	11	1.0
88	18	9.0
88	16	9.0
88	8	3.0
88	8	3.0
88	9	3.0
88	21	13.0
88	11	6.0
88	10	7.0
88	12	4.0
88	11	4.0
88	10	3.0
88	12	4.0
88	10	9.0
88	20	12.0
88	16	6.0
88	5	0.0
88	4	2.0
88	11	5.0
88	14	4.0
88	4	0.0
88	16	10.0
88	5	1.0
88	21	10.0
88	13	4.0
88	14	6.0
88	23	11.0
88	13	9.0
88	11	7.0
88	22	13.0
88	10	3.0
88	9	5.0
88	10	4.0
88	16	7.0
88	7	1.0
88	17	10.0
88	9	1.0
88	10	5.0
88	18	10.0
88	11	5.0
88	14	7.0
88	12	5.0
88	5	1.0
88	11	3.0
88	11	4.0
88	14	6.0
88	8	3.0
88	14	8.0
88	13	3.0
88	14	9.0
88	14	8.0
88	11	8.0
88	11	5.0
